feature,difference,abs_difference,relation,label_a,label_b
mfcc_10_mean,0.08116845002332573,0.08116845002332573,similar,hoarsed,normal
mfcc_6_std,0.10119645843312652,0.10119645843312652,similar,hoarsed,normal
sample_entropy,0.13800159093689868,0.13800159093689868,similar,hoarsed,normal
mfcc_10_std,0.17814803857288797,0.17814803857288797,similar,hoarsed,normal
mfcc_7_std,0.18564299921576843,0.18564299921576843,similar,hoarsed,normal
mfcc_3_mean,0.2693357680838312,0.2693357680838312,similar,hoarsed,normal
f0_max_hz,0.28866040937809917,0.28866040937809917,similar,hoarsed,normal
f0_std_hz,2.459873186561866,2.459873186561866,different,hoarsed,normal
mfcc_5_mean,1.9915024493496145,1.9915024493496145,different,hoarsed,normal
spectral_flux_std,1.4755722674220302,1.4755722674220302,different,hoarsed,normal
hnr_db,1.3434096430328863,1.3434096430328863,different,hoarsed,normal
spectral_flux_mean,1.2685675069655131,1.2685675069655131,different,hoarsed,normal
spectral_entropy,1.2581441486656642,1.2581441486656642,different,hoarsed,normal
spectral_slope_db_per_hz,1.1421248079451105,1.1421248079451105,different,hoarsed,normal
mfcc_1_std,1.0712967161205227,1.0712967161205227,different,hoarsed,normal
mfcc_9_mean,0.9746370368646188,0.9746370368646188,different,hoarsed,normal
mfcc_4_std,0.9652026272035777,0.9652026272035777,different,hoarsed,normal
mfcc_7_std,0.02799689606039213,0.02799689606039213,similar,hoarsed,wind
spectral_flux_std,0.043059652643650026,0.043059652643650026,similar,hoarsed,wind
mfcc_9_std,0.08059995926405628,0.08059995926405628,similar,hoarsed,wind
mfcc_2_std,0.09429585569705673,0.09429585569705673,similar,hoarsed,wind
mfcc_12_std,0.09523693424412694,0.09523693424412694,similar,hoarsed,wind
mfcc_3_mean,0.1349331182532159,0.1349331182532159,similar,hoarsed,wind
mfcc_1_std,0.1775238433618286,0.1775238433618286,similar,hoarsed,wind
mfcc_1_mean,0.1979510306769325,0.1979510306769325,similar,hoarsed,wind
mfcc_10_mean,0.2282130610543316,0.2282130610543316,similar,hoarsed,wind
mfcc_11_std,0.2600482823938802,0.2600482823938802,similar,hoarsed,wind
f0_min_hz,2.6538340568843988,2.6538340568843988,different,hoarsed,wind
mfcc_6_std,2.575883584828981,2.575883584828981,different,hoarsed,wind
f0_mean_hz,2.530194033699425,2.530194033699425,different,hoarsed,wind
f0_max_hz,2.3610051313148417,2.3610051313148417,different,hoarsed,wind
spectral_centroid_mean_hz,2.3306098529219206,2.3306098529219206,different,hoarsed,wind
mfcc_8_std,2.3228090059593454,2.3228090059593454,different,hoarsed,wind
f0_std_hz,2.3170031482295887,2.3170031482295887,different,hoarsed,wind
spectral_centroid_std_hz,2.205685156430046,2.205685156430046,different,hoarsed,wind
mfcc_2_mean,2.0636754612053387,2.0636754612053387,different,hoarsed,wind
cpps_db,2.0378119757037516,2.0378119757037516,different,hoarsed,wind
f0_std_hz,0.14287003833227702,0.14287003833227702,similar,normal,wind
mfcc_10_mean,0.14704461103100586,0.14704461103100586,similar,normal,wind
mfcc_1_mean,0.17407918443206907,0.17407918443206907,similar,normal,wind
mfcc_7_std,0.21363989527616056,0.21363989527616056,similar,normal,wind
mfcc_9_mean,0.25164521624488495,0.25164521624488495,similar,normal,wind
mfcc_13_mean,0.32402194418905805,0.32402194418905805,similar,normal,wind
mfcc_3_mean,0.4042688863370471,0.4042688863370471,similar,normal,wind
mfcc_3_std,0.5066477551872967,0.5066477551872967,similar,normal,wind
mfcc_12_std,0.5651971909310982,0.5651971909310982,similar,normal,wind
mfcc_9_std,0.7405437372461842,0.7405437372461842,similar,normal,wind
spectral_centroid_mean_hz,3.1567104362732614,3.1567104362732614,different,normal,wind
mfcc_5_mean,2.9415088398781384,2.9415088398781384,different,normal,wind
mfcc_8_std,2.7998667470239873,2.7998667470239873,different,normal,wind
mfcc_6_std,2.6770800432621074,2.6770800432621074,different,normal,wind
cpps_db,2.66686428250751,2.66686428250751,different,normal,wind
jitter_local,2.664693176269777,2.664693176269777,different,normal,wind
f0_max_hz,2.649665540692941,2.649665540692941,different,normal,wind
mfcc_5_std,2.5950309782006347,2.5950309782006347,different,normal,wind
spectral_slope_db_per_hz,2.472438859269981,2.472438859269981,different,normal,wind
f0_mean_hz,2.4541744999548336,2.4541744999548336,different,normal,wind
