id,path,folder_hint,jitter_local,shimmer_local,hnr_db,cpps_db,f0_mean_hz,f0_std_hz,f0_min_hz,f0_max_hz,f0_voiced_ratio,alpha_ratio_db,spectral_flux_mean,spectral_flux_std,spectral_slope_db_per_hz,spectral_centroid_mean_hz,spectral_centroid_std_hz,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std
hoarsed2,dataset\ไฟล์เสียง\hoarsed\hoarsed2.mp3,hoarsed,0.014632890128443455,0.18422046367669143,6.118771507997756,8.611775288103374,178.5518895842216,67.51538213666602,81.93226047174862,255.6500291307247,0.35209235209235207,6.314524650629413,0.03500185161828995,0.014325687001313519,-0.003030396967250481,4096.362889217584,669.2866218839272,-367.0850830078125,132.4639129638672,-40.04354476928711,44.49359130859375,-38.909339904785156,20.74847412109375,-41.01497268676758,19.041519165039062,-5.75333833694458,5.570736885070801,21.951845169067383,-14.249935150146484,-4.529210090637207,136.74855041503906,22.90239715576172,28.899824142456055,18.626806259155273,27.346969604492188,7.05832052230835,25.641931533813477,6.430816650390625,7.42966890335083,6.839452266693115,10.055404663085938,12.135637283325195,7.228138446807861
hoarsed3,dataset\ไฟล์เสียง\hoarsed\hoarsed3.mp3,hoarsed,0.010175277676370106,0.07864957291590435,10.784811960036645,10.105734522910266,164.17012796638642,56.55372310986616,96.87324609557632,244.1052838549259,0.8310077519379845,3.9658776191214233,0.03016391396522522,0.01209873053335663,-0.0027805988219840308,2665.348836616564,664.9102266657172,-407.6641540527344,164.095703125,-36.10007858276367,32.88544464111328,-52.861270904541016,18.924047470092773,3.385664939880371,30.040176391601562,-5.454638957977295,-11.387798309326172,7.605293273925781,-7.013476371765137,-2.970404863357544,83.09249877929688,25.456472396850586,19.308692932128906,11.65501594543457,24.146060943603516,7.968203067779541,8.963580131530762,7.701663494110107,6.897183895111084,7.513762474060059,6.5631513595581055,7.288655757904053,5.120444297790527
hoarsed4,dataset\ไฟล์เสียง\hoarsed\hoarsed4.mp3,hoarsed,0.02634343815386958,0.09828700351352773,6.657742084156553,8.376550545019388,177.67089729497405,48.399386193456046,65.40639132514966,227.75828324510303,0.6773049645390071,4.508958803589126,0.03530370816588402,0.010597569934091772,-0.003003242077480595,3657.0260697497533,685.3181928688268,-270.23663330078125,156.07936096191406,-36.67772674560547,31.865299224853516,-64.34440612792969,26.840225219726562,-28.241506576538086,37.726436614990234,-3.389390468597412,-30.4201717376709,21.00457763671875,-3.429917812347412,-9.62000846862793,69.77715301513672,20.969738006591797,16.459646224975586,12.310232162475586,22.94696044921875,7.938943386077881,11.752541542053223,8.51601791381836,7.9932379722595215,10.877645492553711,7.810572624206543,11.950980186462402,6.914000034332275
hoarsed5,dataset\ไฟล์เสียง\hoarsed\hoarsed5.mp3,hoarsed,0.018343139893625973,0.07675938458157616,12.087183443427628,8.40743989581358,209.1960029389758,44.484557206602894,65.40639132514966,244.1052838549259,0.750390015600624,9.153306374338992,0.035415370017290115,0.017460826074002993,-0.0024783892798475493,3014.4003640692085,534.290359500207,-342.4405212402344,147.72389221191406,-17.091203689575195,30.51285743713379,-51.645477294921875,9.439481735229492,-23.205699920654297,48.3071174621582,-0.8084246516227722,-14.800620079040527,2.54547119140625,4.7816057205200195,-6.9038777351379395,105.51710510253906,22.02945899963379,12.019392967224121,10.506155014038086,32.206085205078125,6.937469005584717,15.730669975280762,13.527910232543945,8.593006134033203,8.20323657989502,6.241940975189209,5.086643695831299,7.871297836303711
hoarsed6,dataset\ไฟล์เสียง\hoarsed\hoarsed6.mp3,hoarsed,0.01309240065123077,0.04758602658691497,15.160135054468249,10.931172373648417,182.72585993204672,51.24955743070749,100.28947374140385,231.73942791006385,0.8125490196078431,13.989130839944696,0.028041567653417587,0.015305026950348872,-0.0023794952044636957,2332.7714103066273,513.8056261435995,-331.18719482421875,167.09942626953125,-6.200653553009033,33.473567962646484,-44.720035552978516,12.957246780395508,-28.95070457458496,30.448389053344727,2.023082971572876,-18.006454467773438,-1.8183587789535522,7.432887554168701,6.296200752258301,51.93336868286133,21.0045108795166,12.59170913696289,9.239033699035645,16.910507202148438,6.5821919441223145,13.441876411437988,8.556187629699707,5.47259521484375,7.579689979553223,5.749075889587402,8.377005577087402,9.73620319366455
logitechAbitHoarsed,dataset\ไฟล์เสียง\hoarsed\logitechAbitHoarsed.mp3,hoarsed,0.009992257619555245,0.1018093366626197,12.251745371420764,11.784015463490311,233.2031959236897,6.806855032866705,204.08500572708806,246.94165062806206,0.9217081850533808,-1.6271100282505833,0.04330237954854965,0.01606380557747272,-0.0025515690029508445,1504.2983009092475,54.947778823008825,-382.4691467285156,219.56338500976562,-86.7445068359375,-48.39956283569336,-16.607892990112305,-45.65358352661133,15.149497032165527,19.92888069152832,-31.177244186401367,-15.051698684692383,2.8691625595092773,-8.434982299804688,-13.241044998168945,19.503257751464844,10.053328514099121,11.894280433654785,6.212411880493164,4.3940863609313965,4.603774547576904,5.3354268074035645,5.3299384117126465,3.8427743911743164,4.163783073425293,5.107356548309326,4.274735927581787,3.9878246784210205
logitechHoarsed,dataset\ไฟล์เสียง\hoarsed\logitechHoarsed.mp3,hoarsed,0.03038527345180843,0.1867156970947315,3.3610546880712295,8.091984521553787,230.08393956768552,4.305726139018002,221.27444703492776,245.51937137864914,0.41114982578397213,-4.04385505530227,0.05272349715232849,0.011046599895644322,-0.0028127829782274363,1714.3895210796638,167.4897612538025,-332.63165283203125,214.833984375,-101.87805938720703,-44.972412109375,-15.910263061523438,-52.12027359008789,14.552213668823242,16.48675537109375,-32.01594543457031,-8.925191879272461,0.43789640069007874,-12.217796325683594,-8.835500717163086,27.28296661376953,16.910293579101562,11.143505096435547,7.762256622314453,7.485897064208984,6.7227678298950195,5.834593296051025,4.563541412353516,8.032220840454102,6.040769577026367,6.28972864151001,7.427905559539795,4.303617000579834
maonoAbitHoarsed,dataset\ไฟล์เสียง\hoarsed\maonoAbitHoarsed.mp3,hoarsed,0.0075637687487992425,0.05602142320224564,14.712923933350645,9.95907045066972,242.62538250376966,4.818506690087675,226.44649206156825,255.6500291307247,0.9592592592592593,4.880926174508052,0.025444796308875084,0.0089716478830281,-0.0025898691463115756,2770.657422714606,397.03377722717255,-294.9093933105469,149.73681640625,-47.806461334228516,23.280101776123047,-65.30888366699219,11.786689758300781,-12.970391273498535,38.00758743286133,-18.83650779724121,-16.107393264770508,3.6250836849212646,-2.5421955585479736,-8.517515182495117,20.398645401000977,9.722578048706055,9.613813400268555,6.255207061767578,7.542054176330566,5.289266109466553,7.896499156951904,6.419209003448486,6.589416027069092,5.164247035980225,4.8090291023254395,5.510464191436768,4.579373836517334
maonohoarsed,dataset\ไฟล์เสียง\hoarsed\maonohoarsed.mp3,hoarsed,0.01729109154861147,0.15379735054048596,3.924046672253729,7.659618330837739,231.43127833582594,13.429683025497232,182.87233715141332,267.74077300753,0.5392491467576792,-0.5121811141763317,0.03333919122815132,0.008339443486888705,-0.0031734233188499554,4345.023885641401,424.22522162245446,-255.99429321289062,131.94320678710938,-65.79584503173828,24.412424087524414,-68.28311157226562,30.586597442626953,-18.948179244995117,32.143150329589844,-14.353520393371582,-25.18975830078125,20.597492218017578,-18.203662872314453,-3.6841819286346436,60.259315490722656,12.864587783813477,13.52170467376709,8.68665599822998,19.67890739440918,8.237736701965332,12.27939224243164,6.53963041305542,8.421038627624512,8.883218765258789,6.239861965179443,10.774280548095703,11.364490509033203
Mhoarsed1,dataset\ไฟล์เสียง\hoarsed\Mhoarsed1.mp3,hoarsed,0.03355801519798672,0.1123267284668384,2.3263006887425495,8.050755286551611,195.18109775312982,191.33530899131665,65.40639132514966,577.2395659524774,0.37777777777777777,2.77005497444788,0.050266049802303314,0.024580675566174652,-0.00345350620677093,2307.0892360401276,426.72516475389074,-417.9976501464844,183.7539520263672,-46.01747512817383,35.55006408691406,3.7982685565948486,9.526922225952148,-21.726123809814453,7.052799701690674,-2.7111599445343018,-20.596765518188477,-3.0033352375030518,26.653045654296875,1.0874172449111938,81.16374206542969,36.43157196044922,24.26456642150879,15.964759826660156,11.159461975097656,9.754251480102539,13.489497184753418,12.497279167175293,10.573132514953613,13.818979263305664,13.188349723815918,11.24041748046875,9.191652297973633
